name,subsystem,reaction,formula
Glycerol-3-phosphate dehydrogenase (menaquinone-8),Oxidative Phosphorylation,G3PD6,glyc3p_c + mqn8_c --> dhap_c + mql8_c
Fructose-bisphosphate aldolase,Glycolysis/Gluconeogenesis,FBA,fdp_c <=> dhap_c + g3p_c
"Sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase",Pentose Phosphate Pathway,FBA3,s17bp_c <=> dhap_c + e4p_c
Glycerol-3-phosphate dehydrogenase (demethylmenaquinone-8),Oxidative Phosphorylation,G3PD7,2dmmq8_c + glyc3p_c --> 2dmmql8_c + dhap_c
Iron (II) transport via ABC system (periplasm),Inorganic Ion Transport and Metabolism,FE2abcpp,atp_c + fe2_p + h2o_c --> adp_c + fe2_c + h_c + pi_c
Fructose-bisphosphatase,Glycolysis/Gluconeogenesis,FBP,fdp_c + h2o_c --> f6p_c + pi_c
Sn-glycerol-3-phosphoethanolamine transport via ABC system (periplasm),"Transport, Inner Membrane",G3PEabcpp,atp_c + g3pe_p + h2o_c --> adp_c + g3pe_c + h_c + pi_c
Iron (II) transport in via proton symport (periplasm),Inorganic Ion Transport and Metabolism,FE2t2pp,fe2_p + h_p --> fe2_c + h_c
Glycero-3-phosphoethanolamine transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",G3PEtex,g3pe_e <=> g3pe_p
Sn-glycerol-3-phosphoglycerol transport via ABC system (periplasm),"Transport, Inner Membrane",G3PGabcpp,atp_c + g3pg_p + h2o_c --> adp_c + g3pg_c + h_c + pi_c
Glycerophoglycerol transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",G3PGtex,g3pg_e <=> g3pg_p
Sn-glycerol-3-phosphoethanolamine transport via ABC system (periplasm),"Transport, Inner Membrane",G3PIabcpp,atp_c + g3pi_p + h2o_c --> adp_c + g3pi_c + h_c + pi_c
Glycero-3-phospho-1-inositol transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",G3PItex,g3pi_e <=> g3pi_p
L-fucose isomerase,Alternate Carbon Metabolism,FCI,fuc__L_c <=> fcl__L_c
Sn-glycerol-3-phosphoserine transport via ABC system (periplasm),"Transport, Inner Membrane",G3PSabcpp,atp_c + g3ps_p + h2o_c --> adp_c + g3ps_c + h_c + pi_c
Iron (Fe+2) transport out via proton antiport (periplasm),Inorganic Ion Transport and Metabolism,FE2t3pp,fe2_c + h_p --> fe2_p + h_c
Glycerophosphserine transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",G3PStex,g3ps_e <=> g3ps_p
Glycerol-3-phosphatase,Alternate Carbon Metabolism,G3PT,glyc3p_c + h2o_c --> glyc_c + pi_c
Gamma glutamyl putrescine synthase,Alternate Carbon Metabolism,GGPTRCS,atp_c + glu__L_c + ptrc_c --> adp_c + ggptrc_c + h_c + pi_c
Gamma-hydroxybutyrate dehydrogenase (NADH),Arginine and Proline Metabolism,GHBDHx,h_c + nadh_c + sucsal_c <=> ghb_c + nad_c
"Glycine hydroxymethyltransferase, reversible",Glycine and Serine Metabolism,GHMT2r,ser__L_c + thf_c <=> gly_c + h2o_c + mlthf_c
L-glutamate 5-semialdehyde dehydratase (spontaneous),Arginine and Proline Metabolism,G5SADs,glu5sa_c --> 1pyr5c_c + h2o_c + h_c
Iron (II) transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",FE2tex,fe2_e <=> fe2_p
Glutamate-5-semialdehyde dehydrogenase,Arginine and Proline Metabolism,G5SD,glu5p_c + h_c + nadph_c --> glu5sa_c + nadp_c + pi_c
Glucosamine-6-phosphate deaminase,Alternate Carbon Metabolism,G6PDA,gam6p_c + h2o_c --> f6p_c + nh4_c
Guanylate kinase (GMP:ATP),Nucleotide Salvage Pathway,GK1,atp_c + gmp_c <=> adp_c + gdp_c
"1,4-alpha-glucan branching enzyme (glycogen -> bglycogen)",Glycolysis/Gluconeogenesis,GLBRAN2,glycogen_c --> bglycogen_c
D-glucose O-acetyltransferase,Alternate Carbon Metabolism,GLCATr,accoa_c + glc__D_c <=> acglc__D_c + coa_c
Glucose 6-phosphate dehydrogenase,Pentose Phosphate Pathway,G6PDH2r,g6p_c + nadp_c <=> 6pgl_c + h_c + nadph_c
Iron (+2) transport in via permease (no H+),Inorganic Ion Transport and Metabolism,FE2tpp,fe2_p --> fe2_c
Glucose-6-phosphate phosphatase,Glycolysis/Gluconeogenesis,G6PP,g6p_c + h2o_c --> glc__D_c + pi_c
Glucose-6-phosphate transport via phosphate antiport (periplasm),"Transport, Inner Membrane",G6Pt6_2pp,g6p_p + 2.0 pi_c --> g6p_c + 2.0 pi_p
Glucose 6-phosphate transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",G6Ptex,g6p_e <=> g6p_p
D-galactose 1-phosphatase,Alternate Carbon Metabolism,GAL1PPpp,gal1p_p + h2o_p --> gal_p + pi_p
Glucose dehydrogenase (ubiquinone-8 as acceptor) (periplasm),Oxidative Phosphorylation,GLCDpp,glc__D_p + h2o_p + q8_c --> glcn_p + h_p + q8h2_c
Iron transport from ferric-dicitrate via ABC system (periplasm),Inorganic Ion Transport and Metabolism,FE3DCITabcpp,atp_c + fe3dcit_p + h2o_c --> adp_c + 2.0 cit_c + fe3_c + h_c + pi_c
"D-gluconate transport via proton symport, reversible (periplasm)","Transport, Inner Membrane",GLCNt2rpp,glcn_p + h_p <=> glcn_c + h_c
D-galactose 1-phosphate transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",GAL1Ptex,gal1p_e <=> gal1p_p
Beta D-galactose transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",GALBDtex,gal_bD_e <=> gal_bD_p
Galactarate dehydratase,Alternate Carbon Metabolism,GALCTD,galct__D_c --> 5dh4dglc_c + h2o_c
L-galactonate oxidoreductase,Alternate Carbon Metabolism,GALCTLO,galctn__L_c + nad_c --> h_c + nadh_c + tagur_c
Galactonate dehydratase,Alternate Carbon Metabolism,GALCTND,galctn__D_c --> 2dh3dgal_c + h2o_c
D-gluconate transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",GLCNtex,glcn_e <=> glcn_p
Glycogen phosphorylase,Glycolysis/Gluconeogenesis,GLCP,glycogen_c + pi_c --> g1p_c
Glycogen phosphorylase,Glycolysis/Gluconeogenesis,GLCP2,bglycogen_c + pi_c --> g1p_c
L-galactonate transport via proton symport (periplasm),"Transport, Inner Membrane",GALCTNLt2pp,galctn__L_p + h_p --> galctn__L_c + h_c
Ferric-dicitrate transport via ton system (extracellular),"Transport, Outer Membrane",FE3DCITtonex,fe3dcit_e + h_p --> fe3dcit_p + h_c
L-galactonate transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",GALCTNLtex,galctn__L_e <=> galctn__L_p
D-galactonate transport via proton symport (periplasm),"Transport, Inner Membrane",GALCTNt2pp,galctn__D_p + h_p --> galctn__D_c + h_c
D-galactonate transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",GALCTNtex,galctn__D_e <=> galctn__D_p
"D-galactarte transport via proton symport, reversible (periplasm)","Transport, Inner Membrane",GALCTt2rpp,galct__D_p + h_p <=> galct__D_c + h_c
5-dehydro-4-deoxyglucarate aldolase,Alternate Carbon Metabolism,GLCRAL,5dh4dglc_c --> 2h3oppan_c + pyr_c
Glucarate dehydratase,Alternate Carbon Metabolism,GLCRD,glcr_c --> 5dh4dglc_c + h2o_c
"D-glucarate transport via proton symport, reversible (periplasm)","Transport, Inner Membrane",GLCRt2rpp,glcr_p + h_p <=> glcr_c + h_c
D-galactarte transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",GALCTtex,galct__D_e <=> galct__D_p
"Release of Fe(III) from ferric 2,3-dihydroxybenzoylserine",Inorganic Ion Transport and Metabolism,FE3DHBZR,fe3dhbzs_c --> 23dhbzs_c + fe3_c
Galactokinase,Alternate Carbon Metabolism,GALKr,atp_c + gal_c <=> adp_c + gal1p_c + h_c
Aldose-1-epimerase,Alternate Carbon Metabolism,GALM2pp,gal_bD_p --> gal_p
A-galactosidase (melibiose),Alternate Carbon Metabolism,GALS3,h2o_c + melib_c --> gal_c + glc__D_c
D-glucarate transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",GLCRtex,glcr_e <=> glcr_p
Glycogen synthase (ADPGlc),Glycolysis/Gluconeogenesis,GLCS1,adpglc_c --> adp_c + glycogen_c + h_c
Glucosyltransferase I (LPS core synthesis),Lipopolysaccharide Biosynthesis / Recycling,GLCTR1,icolipa_c + udpg_c --> gicolipa_c + h_c + udp_c
Glucosyltransferase II (LPS core synthesis),Lipopolysaccharide Biosynthesis / Recycling,GLCTR2,gagicolipa_c + udpg_c --> ggagicolipa_c + h_c + udp_c
Galactosyltransferase I (LPS core synthesis),Lipopolysaccharide Biosynthesis / Recycling,GALT1,gicolipa_c + udpg_c --> gagicolipa_c + h_c + udp_c
"Ferric 2,3-dihydroxybenzoylserine transport via ABC system (periplasm)",Inorganic Ion Transport and Metabolism,FE3DHBZSabcpp,atp_c + fe3dhbzs_p + h2o_c --> adp_c + fe3dhbzs_c + h_c + pi_c
Galactitol transport via PEP:Pyr PTS (periplasm),"Transport, Inner Membrane",GALTptspp,galt_p + pep_c --> galt1p_c + pyr_c
Glucosyltransferase III (LPS core synthesis),Lipopolysaccharide Biosynthesis / Recycling,GLCTR3,ggagicolipa_c + udpg_c --> gggagicolipa_c + h_c + udp_c
"Ferric 2,3-dihydroxybenzoylserine transport via ton system (extracellular)","Transport, Outer Membrane",FE3DHBZStonex,fe3dhbzs_e + h_p --> fe3dhbzs_p + h_c
D-glucuronate 1-phosphate transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",GLCUR1Ptex,glcur1p_e <=> glcur1p_p
Galactitol transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",GALTtex,galt_e <=> galt_p
"D-glucuronate transport via proton symport, reversible (periplasm)","Transport, Inner Membrane",GLCURt2rpp,glcur_p + h_p <=> glcur_c + h_c
D-glucuronat transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",GLCURtex,glcur_e <=> glcur_p
D-glucose transport via ABC system (periplasm),"Transport, Inner Membrane",GLCabcpp,atp_c + glc__D_p + h2o_c --> adp_c + glc__D_c + h_c + pi_c
"D-galacturonate transport via proton symport, reversible (periplasm)","Transport, Inner Membrane",GALURt2rpp,galur_p + h_p <=> galur_c + h_c
D-galacturonate transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",GALURtex,galur_e <=> galur_p
UTP-glucose-1-phosphate uridylyltransferase (irreversible),Cell Envelope Biosynthesis,GALUi,g1p_c + h_c + utp_c --> ppi_c + udpg_c
D-glucose transport via PEP:Pyr PTS (periplasm),"Transport, Inner Membrane",GLCptspp,glc__D_p + pep_c --> g6p_c + pyr_c
Fe(III)hydroxamate reductase,Inorganic Ion Transport and Metabolism,FE3HOXR1,fadh2_c + 2.0 fe3hox_c --> fad_c + 2.0 fe2_c + 2.0 fe3hox_un_c + 2.0 h_c
D-glucose transport in via proton symport (periplasm),"Transport, Inner Membrane",GLCt2pp,glc__D_p + h_p --> glc__D_c + h_c
D-galactose transport via ABC system (periplasm),"Transport, Inner Membrane",GALabcpp,atp_c + gal_p + h2o_c --> adp_c + gal_c + h_c + pi_c
Fe(III)hydroxamate reductase,Inorganic Ion Transport and Metabolism,FE3HOXR2,2.0 fe3hox_c + fmnh2_c --> 2.0 fe2_c + 2.0 fe3hox_un_c + fmn_c + 2.0 h_c
Glucose transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",GLCtex_copy1,glc__D_e <=> glc__D_p
Fe(III)hydroxamate reductase,Inorganic Ion Transport and Metabolism,FE3HOXR3,2.0 fe3hox_c + rbflvrd_c --> 2.0 fe2_c + 2.0 fe3hox_un_c + 2.0 h_c + ribflv_c
Glucose transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane",GLCtex_copy2,glc__D_e --> glc__D_p
Glycogen debranching enzyme (bglycogen -> glycogen),Glycolysis/Gluconeogenesis,GLDBRAN2,bglycogen_c --> glycogen_c
Fe(III)hydroxamate unloaded secretion,Inorganic Ion Transport and Metabolism,FE3HOXUtex,fe3hox_un_c + h_p --> fe3hox_un_p + h_c
Glucose-1-phosphate adenylyltransferase,Glycolysis/Gluconeogenesis,GLGC,atp_c + g1p_c + h_c --> adpglc_c + ppi_c
Fe(III)hydroxamate unloaded secretion (extracellular),Inorganic Ion Transport and Metabolism,FE3HOXUtpp,fe3hox_un_p + h_p --> fe3hox_un_e + h_c
Glutamine synthetase,Glutamate Metabolism,GLNS,atp_c + glu__L_c + nh4_c --> adp_c + gln__L_c + h_c + pi_c
Ferric-dicitrate transport via ABC system (periplasm),Inorganic Ion Transport and Metabolism,FE3HOXabcpp,atp_c + fe3hox_p + h2o_c --> adp_c + fe3hox_c + h_c + pi_c
Glutaminyl-tRNA synthetase,tRNA Charging,GLNTRS,atp_c + gln__L_c + trnagln_c --> amp_c + glntrna_c + ppi_c
Fe(III) hydroxamate Fe-loading reaction (spontaneaous),Inorganic Ion Transport and Metabolism,FE3HOXexs,fe3_e + fe3hox_un_e --> fe3hox_e
L-glutamine transport via ABC system (periplasm),"Transport, Inner Membrane",GLNabcpp,atp_c + gln__L_p + h2o_c --> adp_c + gln__L_c + h_c + pi_c
L-glutamine transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",GLNtex,gln__L_e <=> gln__L_p
Galactitol-1-phosphate dehydrogenase,Alternate Carbon Metabolism,GLTPD,galt1p_c + nad_c <=> h_c + nadh_c + tag6p__D_c
Glutamate 5-kinase,Arginine and Proline Metabolism,GLU5K,atp_c + glu__L_c --> adp_c + glu5p_c
4-aminobutyrate/glutamate antiport (periplasm),"Transport, Inner Membrane",GLUABUTt7pp,4abut_c + glu__L_p <=> 4abut_p + glu__L_c
D-galactose transport in via proton symport (periplasm),"Transport, Inner Membrane",GALt2pp,gal_p + h_p --> gal_c + h_c
D-galactose transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",GALtex,gal_e <=> gal_p
D-Glucosamine 6-phosphate transport via phosphate antiport (periplasm),"Transport, Inner Membrane",GAM6Pt6_2pp,gam6p_p + 2.0 pi_c --> gam6p_c + 2.0 pi_p
D-glucosamine 6-phosphate transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",GAMAN6Ptex,gam6p_e <=> gam6p_p
D-glucosamine transport via PEP:Pyr PTS (periplasm),"Transport, Inner Membrane",GAMptspp,gam_p + pep_c --> gam6p_c + pyr_c
D-glucosamine transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",GAMtex,gam_e <=> gam_p
Glyceraldehyde-3-phosphate dehydrogenase,Glycolysis/Gluconeogenesis,GAPD,g3p_c + nad_c + pi_c <=> 13dpg_c + h_c + nadh_c
Gamma-glutamylcysteine synthetase,Cofactor and Prosthetic Group Biosynthesis,GLUCYS,atp_c + cys__L_c + glu__L_c --> adp_c + glucys_c + h_c + pi_c
Glutamate Decarboxylase,Glutamate Metabolism,GLUDC,glu__L_c + h_c --> 4abut_c + co2_c
Glutamate dehydrogenase (NADP),Glutamate Metabolism,GLUDy,glu__L_c + h2o_c + nadp_c <=> akg_c + h_c + nadph_c + nh4_c
Glutaminase,Glutamate Metabolism,GLUN,gln__L_c + h2o_c --> glu__L_c + nh4_c
Glutaminase,Glutamate Metabolism,GLUNpp,gln__L_p + h2o_p --> glu__L_p + nh4_p
Glutamine phosphoribosyldiphosphate amidotransferase,Purine and Pyrimidine Biosynthesis,GLUPRT,gln__L_c + h2o_c + prpp_c --> glu__L_c + ppi_c + pram_c
Glutamate racemase,Cell Envelope Biosynthesis,GLUR,glu__D_c <=> glu__L_c
Phosphoribosylglycinamide formyltransferase,Purine and Pyrimidine Biosynthesis,GARFT,10fthf_c + gar_c <=> fgam_c + h_c + thf_c
Fe(III)hydroxamine transport via ton system (extracellular),"Transport, Outer Membrane",FE3HOXtonex,fe3hox_e + h_p --> fe3hox_p + h_c
GAR transformylase-T,Purine and Pyrimidine Biosynthesis,GART,atp_c + for_c + gar_c --> adp_c + fgam_c + h_c + pi_c
Glutamate synthase (NADPH),Glutamate Metabolism,GLUSy,akg_c + gln__L_c + h_c + nadph_c --> 2.0 glu__L_c + nadp_c
Glutamyl-tRNA reductase,Cofactor and Prosthetic Group Biosynthesis,GLUTRR,glutrna_c + h_c + nadph_c --> glu1sa_c + nadp_c + trnaglu_c
Glutamyl-tRNA synthetase,Cofactor and Prosthetic Group Biosynthesis,GLUTRS,atp_c + glu__L_c + trnaglu_c --> amp_c + glutrna_c + ppi_c
L-glutamate transport via ABC system (periplasm),"Transport, Inner Membrane",GLUabcpp,atp_c + glu__L_p + h2o_c --> adp_c + glu__L_c + h_c + pi_c
Gamma-butyrobetaine transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",GBBTNtex,gbbtn_e <=> gbbtn_p
Glycolaldehyde dehydrogenase,Folate Metabolism,GCALDD,gcald_c + h2o_c + nad_c --> glyclt_c + 2.0 h_c + nadh_c
GDP-4-dehydro-6-deoxy-D-mannose epimerase,Cell Envelope Biosynthesis,GDMANE,gdpddman_c --> gdpofuc_c
"L-glutamate transport via proton symport, reversible (periplasm)","Transport, Inner Membrane",GLUt2rpp,glu__L_p + h_p <=> glu__L_c + h_c
Fe(III) reduction,Cofactor and Prosthetic Group Biosynthesis,FE3Ri,fadh2_c + 2.0 fe3_c --> fad_c + 2.0 fe2_c + 2.0 h_c
Na+/glutamate symport (periplasm),"Transport, Inner Membrane",GLUt4pp,glu__L_p + na1_p --> glu__L_c + na1_c
L-glutamate transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",GLUtex,glu__L_e <=> glu__L_p
GDP diphosphokinase,Cofactor and Prosthetic Group Biosynthesis,GDPDPK,atp_c + gdp_c --> amp_c + h_c + ppgpp_c
GDP-mannose mannosyl hydrolase,Cell Envelope Biosynthesis,GDPMNH,gdpmann_c + h2o_c --> gdp_c + h_c + man_c
Glyoxalate carboligase,Glyoxylate Metabolism,GLXCL,2.0 glx_c + h_c --> 2h3oppan_c + co2_c
Iron (III) transport via ABC system (periplasm to cytoplasm),Inorganic Ion Transport and Metabolism,FE3abcpp,atp_c + fe3_p + h2o_c --> adp_c + fe3_c + h_c + pi_c
Glyceraldehyde transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",GLYALDtex,glyald_e <=> glyald_p
GDP-mannose phyrophosphatase,Cell Envelope Biosynthesis,GDPMNP,gdpmann_c + h2o_c --> gmp_c + 2.0 h_c + man1p_c
Guanosine 3'-diphosphate 5'-triphosphate 3'-diphosphatase,Cofactor and Prosthetic Group Biosynthesis,GDPTPDP,gdptp_c + h2o_c --> gtp_c + ppi_c
Glyceraldehyde facilitated diffusion (periplasm),"Transport, Inner Membrane",GLYALDtpp,glyald_p <=> glyald_c
GDP transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",GDPtex,gdp_e <=> gdp_p
Iron (III) transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",FE3tex,fe3_e <=> fe3_p
Glutamine-fructose-6-phosphate transaminase,Cell Envelope Biosynthesis,GF6PTA,f6p_c + gln__L_c --> gam6p_c + glu__L_c
Gamma-glutamyl-gamma aminobutyric acid dehydrogenase,Alternate Carbon Metabolism,GGGABADr,ggbutal_c + h2o_c + nadp_c <=> gg4abut_c + 2.0 h_c + nadph_c
Gamma-glutamyl-gamma-aminobutyric acid hydrolase,Alternate Carbon Metabolism,GGGABAH,gg4abut_c + h2o_c --> 4abut_c + glu__L_c
Gamma glutamyl putrescine oxidase,Alternate Carbon Metabolism,GGPTRCO,ggptrc_c + h2o_c + o2_c --> ggbutal_c + h2o2_c + nh4_c
Glycine C-acetyltransferase,Glycine and Serine Metabolism,GLYAT,accoa_c + gly_c <=> 2aobut_c + coa_c
Glycine betaine transport via ABC system (periplasm),"Transport, Inner Membrane",GLYBabcpp,atp_c + glyb_p + h2o_c --> adp_c + glyb_c + h_c + pi_c
Glycine betaine transport via proton symport (periplasm),"Transport, Inner Membrane",GLYBt2pp,glyb_p + h_p --> glyb_c + h_c
Glycine betaine transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",GLYBtex,glyb_e <=> glyb_p
Sn-Glycerol 2-phosphate transport via ABC system (periplasm),"Transport, Inner Membrane",GLYC2Pabcpp,atp_c + glyc2p_p + h2o_c --> adp_c + glyc2p_c + h_c + pi_c
Glycerol-2-phosphate transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",GLYC2Ptex,glyc2p_e <=> glyc2p_p
Sn-Glycerol 3-phosphate transport via ABC system (periplasm),"Transport, Inner Membrane",GLYC3Pabcpp,atp_c + glyc3p_p + h2o_c --> adp_c + glyc3p_c + h_c + pi_c
Ferrichrome reductase,Inorganic Ion Transport and Metabolism,FECRMR1,fadh2_c + 2.0 fecrm_c --> fad_c + 2.0 fe2_c + 2.0 fecrm_un_c + 2.0 h_c
Glycerol-3-phosphate : phosphate antiporter (periplasm),"Transport, Inner Membrane",GLYC3Pt6pp,glyc3p_p + pi_c --> glyc3p_c + pi_p
Glycerol-3-phosphate transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",GLYC3Ptex,glyc3p_e <=> glyc3p_p
"Guanosine-5'-triphosphate,3'-diphosphate diphosphatase",Cofactor and Prosthetic Group Biosynthesis,GTPDPDP,gdptp_c + h2o_c --> h_c + pi_c + ppgpp_c
"D-glycerate transport via proton symport, reversible (periplasm)","Transport, Inner Membrane",GLYCAt2rpp,glyc__R_p + h_p <=> glyc__R_c + h_c
GTP diphosphokinase,Cofactor and Prosthetic Group Biosynthesis,GTPDPK,atp_c + gtp_c --> amp_c + gdptp_c + h_c
Ferrichrome reductase,Inorganic Ion Transport and Metabolism,FECRMR2,2.0 fecrm_c + fmnh2_c --> 2.0 fe2_c + 2.0 fecrm_un_c + fmn_c + 2.0 h_c
GTP amine hydrolysis (spontaneous),Nucleotide Salvage Pathway,GTPHs,gtp_c + h2o_c + h_c --> nh4_c + xtp_c
D-glycerate transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",GLYCAtex,glyc__R_e <=> glyc__R_p
Glycerol dehydrogenase,Alternate Carbon Metabolism,GLYCDx,glyc_c + nad_c --> dha_c + h_c + nadh_c
Glycerate kinase,Glyoxylate Metabolism,GLYCK,atp_c + glyc__R_c --> 3pg_c + adp_c + h_c
GTP transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",GTPtex,gtp_e <=> gtp_p
Guanylate cyclase,Nucleotide Salvage Pathway,GUACYC,gtp_c --> 35cgmp_c + ppi_c
Glycerate kinase,Glycine and Serine Metabolism,GLYCK2,atp_c + glyc__R_c --> 2pg_c + adp_c + h_c
Ferrichrome reductase,Inorganic Ion Transport and Metabolism,FECRMR3,2.0 fecrm_c + rbflvrd_c --> 2.0 fe2_c + 2.0 fecrm_un_c + 2.0 h_c + ribflv_c
Glycine Cleavage System,Folate Metabolism,GLYCL,gly_c + nad_c + thf_c --> co2_c + mlthf_c + nadh_c + nh4_c
Glycolate dehydrogenase (NAD),Glyoxylate Metabolism,GLYCLTDx,glx_c + h_c + nadh_c --> glyclt_c + nad_c
Glycolate dehydrogenase (NADP),Glyoxylate Metabolism,GLYCLTDy,glx_c + h_c + nadph_c --> glyclt_c + nadp_c
Guanine deaminase,Nucleotide Salvage Pathway,GUAD,gua_c + h2o_c + h_c --> nh4_c + xan_c
Guanine phosphoribosyltransferase,Nucleotide Salvage Pathway,GUAPRT,gua_c + prpp_c --> gmp_c + ppi_c
Guanine transport in via proton symport (periplasm),"Transport, Inner Membrane",GUAt2pp,gua_p + h_p --> gua_c + h_c
Guanine transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane",GUAtex,gua_e <=> gua_p
Guanine transport via diffusion (periplasm),"Transport, Inner Membrane",GUAtpp,gua_p <=> gua_c
Glucuronate isomerase (D-glucuronate),Alternate Carbon Metabolism,GUI1,glcur_c <=> fruur_c
Glucuronate isomerase (D-galacturonate),Alternate Carbon Metabolism,GUI2,galur_c <=> tagur_c
Glucuronate 1-phosphate phosphatase (periplasm),Alternate Carbon Metabolism,GUR1PPpp,glcur1p_p + h2o_p --> glcur_p + pi_p
Hydrogen peroxide transport via diffusion (external),"Transport, Outer Membrane Porin",H2O2tex,h2o2_e <=> h2o2_p
H2O transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",H2Otex,h2o_e <=> h2o_p
H2O transport via diffusion (periplasm),"Transport, Inner Membrane",H2Otpp,h2o_p <=> h2o_c
Hydrogen sulfide oxidation,Inorganic Ion Transport and Metabolism,H2SO,h2s_c + 2.0 o2_c --> 2.0 h_c + so4_c
"Glycolate transport via proton symport, reversible (periplasm)","Transport, Inner Membrane",GLYCLTt2rpp,glyclt_p + h_p <=> glyclt_c + h_c
Glycolate transport via sodium symport (periplasm),"Transport, Inner Membrane",GLYCLTt4pp,glyclt_p + na1_p --> glyclt_c + na1_c
Glycolate transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",GLYCLTtex,glyclt_e <=> glyclt_p
Glycolate oxidase,Alternate Carbon Metabolism,GLYCTO2,glyclt_c + q8_c --> glx_c + q8h2_c
Glycolate oxidase,Alternate Carbon Metabolism,GLYCTO3,glyclt_c + mqn8_c --> glx_c + mql8_c
Glycolate oxidase,Alternate Carbon Metabolism,GLYCTO4,2dmmq8_c + glyclt_c --> 2dmmql8_c + glx_c
Glycerol transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",GLYCtex,glyc_e <=> glyc_p
Glycerol transport via channel (periplasm),"Transport, Inner Membrane",GLYCtpp,glyc_c <=> glyc_p
Glycerol kinase,Alternate Carbon Metabolism,GLYK,atp_c + glyc_c --> adp_c + glyc3p_c + h_c
H2s transport (periplasm),"Transport, Inner Membrane",H2St1pp,h2s_c --> h2s_p
H2s transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",H2Stex,h2s_e <=> h2s_p
Hydrogen transport via diffusion (extracellular to periplasm),"Transport, Outer Membrane Porin",H2tex,h2_e <=> h2_p
Ferrichrome (minus Fe) secretion (to extracellular),Inorganic Ion Transport and Metabolism,FECRMUtex,fecrm_un_p + h_p --> fecrm_un_e + h_c
Hydrogen transport diffusion (periplasm),"Transport, Inner Membrane",H2tpp,h2_p <=> h2_c
Ferrichrome (minus Fe) secretion (to periplasm),Inorganic Ion Transport and Metabolism,FECRMUtpp,fecrm_un_c + h_p --> fecrm_un_p + h_c
3-hydroxyacyl-CoA dehydrogenase (acetoacetyl-CoA),Membrane Lipid Metabolism,HACD1,aacoa_c + h_c + nadh_c <=> 3hbcoa_c + nad_c
3-hydroxyacyl-CoA dehydrogenase (3-oxohexanoyl-CoA),Membrane Lipid Metabolism,HACD2,3ohcoa_c + h_c + nadh_c <=> 3hhcoa_c + nad_c
3-hydroxyacyl-CoA dehydrogenase (3-oxooctanoyl-CoA),Membrane Lipid Metabolism,HACD3,3oocoa_c + h_c + nadh_c <=> 3hocoa_c + nad_c
3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA),Membrane Lipid Metabolism,HACD4,3odcoa_c + h_c + nadh_c <=> 3hdcoa_c + nad_c
3-hydroxyacyl-CoA dehydrogenase (3-oxododecanoyl-CoA),Membrane Lipid Metabolism,HACD5,3oddcoa_c + h_c + nadh_c <=> 3hddcoa_c + nad_c
3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA),Membrane Lipid Metabolism,HACD6,3otdcoa_c + h_c + nadh_c <=> 3htdcoa_c + nad_c
